Country|Population|Area|Density|GDP
USA|331002651|9833517|33.68|21137518
India|1393409038|3287263|423.1|2875142
China|1444216107|9596961|150.6|14722731
Russia|146171015|17098246|8.5|1642793
Brazil|213993437|8515770|25.1|1444734
Australia|25687041|7692024|3.3|1335261
Canada|38005238|9984670|3.8|1647127
Germany|83240525|357022|233.1|4222979
UK|68207114|242495|281.4|3124650
France|65480710|551695|118.7|2938275
Italy|60461828|301336|200.8|2066590
Japan|125960000|377975|333.1|4936920
South Korea|51635256|100210|515.3|1807274
Mexico|130262216|1964375|66.3|1260404
Indonesia|276361783|1910931|144.7|1171266
Saudi Arabia|35339958|2149690|16.4|833541
South Africa|59308690|1219090|48.6|317067
Argentina|45605823|2780400|16.4|491497
Spain|47450795|505990|93.8|1420255
Nigeria|211400708|923768|228.9|514048
