Year;Month;Temperature;Rainfall;Humidity
2021;January;12.5;90;60
2021;February;13.2;80;62
2021;March;15.0;70;63
2021;April;18.2;100;65
2021;May;20.5;120;70
2021;June;25.0;150;75
2021;July;27.5;180;80
2021;August;28.0;200;82
2021;September;24.0;170;78
2021;October;19.5;110;72
2021;November;15.5;100;68
2021;December;13.0;90;65
2022;January;12.8;85;61
2022;February;13.5;78;63
2022;March;15.3;75;64
2022;April;18.7;95;66
2022;May;21.0;115;71
2022;June;25.5;140;76
2022;July;28.0;175;81
2022;August;29.0;190;83
